source,target,realValue,layerID,layerColor,layerUnit
Exterior Heat,HPs,4678.30,Exterior Heat,#8FBC8F,TWh
NG,HPs,14603.63,NG,#FFD700,TWh
Electricity,Elec,2650.00,Electricity,#00BFFF,TWh
Solar,Elec,2650.00,Solar,#FFFF00,TWh
Elec,Export,2650.00,Electricity,#00BFFF,TWh
Elec,Elec demand,2650.00,Electricity,#00BFFF,TWh
HPs,Heat,19281.93,Heat LT,#FA8072,TWh
Heat,Dec. Sto,9432.60,Heat LT,#FA8072,TWh
Dec. Sto,Heat LT Dec,7931.82,Heat LT,#FA8072,TWh
Dec. Sto,Losses,1500.78,Heat,#708090,TWh
Heat,Heat LT Dec,9849.32,Heat,#FA8072,TWh
