source,target,realValue,layerID,layerColor,layerUnit
Exterior Heat,HPs,7075.47,Exterior Heat,#8FBC8F,TWh
NG,HPs,9137.39,NG,#FFD700,TWh
Electricity,Elec,1644.52,Electricity,#00BFFF,TWh
Solar,Elec,3747.42,Solar,#FFFF00,TWh
Solar,Heat,576.40,Solar,#FFFF00,TWh
Elec,Export,1644.52,Electricity,#00BFFF,TWh
Elec,Elec demand,2650.00,Electricity,#00BFFF,TWh
Elec,HPs,1097.42,Electricity,#00BFFF,TWh
HPs,Heat,17310.28,Heat LT,#FA8072,TWh
Heat,Dec. Sto,2296.15,Heat LT,#FA8072,TWh
Dec. Sto,Heat LT Dec,2190.61,Heat LT,#FA8072,TWh
Dec. Sto,Losses,105.54,Heat,#708090,TWh
Heat,Heat LT Dec,15590.53,Heat,#FA8072,TWh
