source,target,realValue,layerID,layerColor,layerUnit
Exterior Heat,HPs,4493.67,Exterior Heat,#8FBC8F,TWh
NG,HPs,13418.24,NG,#FFD700,TWh
Electricity,Elec,1527.55,Electricity,#00BFFF,TWh
Solar,Elec,2650.00,Solar,#FFFF00,TWh
Elec,Export,1527.55,Electricity,#00BFFF,TWh
Elec,Elec demand,2650.00,Electricity,#00BFFF,TWh
HPs,Heat,17911.90,Heat LT,#FA8072,TWh
Heat,Dec. Sto,3207.28,Heat LT,#FA8072,TWh
Dec. Sto,Heat LT Dec,3076.52,Heat LT,#FA8072,TWh
Dec. Sto,Losses,130.76,Heat,#708090,TWh
Heat,Heat LT Dec,14704.62,Heat,#FA8072,TWh
