source,target,realValue,layerID,layerColor,layerUnit
Exterior Heat,HPs,10326.44,Exterior Heat,#8FBC8F,TWh
Electricity,Elec,3809.87,Electricity,#00BFFF,TWh
Solar,Elec,5727.10,Solar,#FFFF00,TWh
Elec,Export,3669.81,Electricity,#00BFFF,TWh
Elec,Elec demand,2650.00,Electricity,#00BFFF,TWh
Elec,HPs,3217.16,Electricity,#00BFFF,TWh
HPs,Heat,13543.59,Heat LT,#FA8072,TWh
Heat,Dec. Sto,930.29,Heat LT,#FA8072,TWh
Dec. Sto,Heat LT Dec,892.64,Heat LT,#FA8072,TWh
Dec. Sto,Losses,37.65,Heat,#708090,TWh
Heat,Heat LT Dec,12613.31,Heat,#FA8072,TWh
