source,target,realValue,layerID,layerColor,layerUnit
Exterior Heat,HPs,8190.50,Exterior Heat,#8FBC8F,TWh
NG,HPs,7304.49,NG,#FFD700,TWh
Electricity,Elec,2828.49,Electricity,#00BFFF,TWh
Solar,Elec,5007.07,Solar,#FFFF00,TWh
Elec,Export,2828.49,Electricity,#00BFFF,TWh
Elec,Elec demand,2650.00,Electricity,#00BFFF,TWh
Elec,HPs,2357.07,Electricity,#00BFFF,TWh
HPs,Heat,17852.06,Heat LT,#FA8072,TWh
Heat,Dec. Sto,1751.15,Heat LT,#FA8072,TWh
Dec. Sto,Heat LT Dec,1680.23,Heat LT,#FA8072,TWh
Dec. Sto,Losses,70.91,Heat,#708090,TWh
Heat,Heat LT Dec,16100.91,Heat,#FA8072,TWh
