TECHNOLOGIES 	  c_inv	 c_maint	 lifetime	  f_min	 f	 f_max	 fmin_perc	 f_perc	 fmax_perc	 c_p	 tau	 gwp_constr 
 UNITS	[MCHCapitalf/kW]	 [MCHCapitalf/kW]	 [y]	 [kW or kWh]	 [kW or kWh]	 [kW or kWh]	 [0-1]	 [0-1]	 [0-1]	 [0-1]	 [-]	 [kgCO2-eq./kW or kWh] 
DHN_STATIONS	5089454.097914	0.000000	40.000000	0.100000	21206.058741	100000.000000	0.000000	-1.000000	1.000000	1.000000	0.033427	0.000000	%f\t
DHN_SUBSTA	4453272.335675	118753.928951	25.000000	0.100000	21206.058741	100000.000000	0.000000	-1.000000	1.000000	1.000000	0.048263	0.000000	%f\t
GRID	0.000000	0.000000	80.000000	0.100000	0.000000	20.000000	0.000000	-1.000000	1.000000	1.000000	0.021548	0.000000	%f\t
H2_ELECTROLYSIS_SOEC	0.000000	0.000000	20.000000	1000.000000	0.000000	0.000000	0.000000	-1.000000	1.000000	0.900000	0.058246	0.000000	%f\t
H2_ELECTROLYSIS_PEMEC	0.000000	0.000000	15.000000	1000.000000	0.000000	0.000000	0.000000	-1.000000	1.000000	0.900000	0.074944	0.000000	%f\t
H2_ELECTROLYSIS_ALKA	0.000000	0.000000	25.000000	1000.000000	0.000000	0.000000	0.000000	-1.000000	1.000000	0.900000	0.048263	0.000000	%f\t
H2_NG	0.000000	0.000000	25.000000	1000.000000	0.000000	0.000000	0.000000	-1.000000	1.000000	0.860000	0.048263	0.000000	%f\t
H2_BIOMASS	0.000000	0.000000	25.000000	1000.000000	0.000000	0.000000	0.000000	-1.000000	1.000000	0.860000	0.048263	0.000000	%f\t
GASICapitalfICATION_SNG	0.000000	0.000000	20.000000	2000.000000	0.000000	0.000000	0.000000	-1.000000	1.000000	0.950000	0.058246	0.000000	%f\t
PYROLYSIS	0.000000	0.000000	25.000000	1000.000000	0.000000	0.000000	0.000000	-1.000000	1.000000	0.950000	0.048263	0.000000	%f\t
ROOCapitalf	0.000000	0.000000	1.000000	0.100000	0.000000	100000000000.000000	0.000000	-1.000000	0.140000	1.000000	1.015000	0.000000	%f\t
CapitalfACADE	0.000000	0.000000	1.000000	0.100000	0.000000	100000000000.000000	0.000000	-1.000000	0.280000	1.000000	1.015000	0.000000	%f\t
CapitalfLOOR	0.000000	0.000000	1.000000	0.100000	0.000000	100000000000.000000	0.000000	-1.000000	0.050000	1.000000	1.015000	0.000000	%f\t
WINDOW	0.000000	0.000000	1.000000	0.100000	0.000000	100000000000.000000	0.000000	-1.000000	0.100000	1.000000	1.015000	0.000000	%f\t
