source,target,realValue,layerID,layerColor,layerUnit
Exterior Heat,HPs,4432.09,Exterior Heat,#8FBC8F,TWh
NG,HPs,13030.40,NG,#FFD700,TWh
Electricity,Elec,2650.00,Electricity,#00BFFF,TWh
Solar,Elec,2650.00,Solar,#FFFF00,TWh
Elec,Export,2650.00,Electricity,#00BFFF,TWh
Elec,Elec demand,2650.00,Electricity,#00BFFF,TWh
HPs,Heat,17462.49,Heat LT,#FA8072,TWh
Heat,Dec. Sto,3997.26,Heat LT,#FA8072,TWh
Dec. Sto,Heat LT Dec,3881.80,Heat LT,#FA8072,TWh
Dec. Sto,Losses,115.46,Heat,#708090,TWh
Heat,Heat LT Dec,13465.23,Heat,#FA8072,TWh
