source,target,realValue,layerID,layerColor,layerUnit
Exterior Heat,HPs,6554.41,Exterior Heat,#8FBC8F,TWh
NG,HPs,9990.73,NG,#FFD700,TWh
Electricity,Elec,1771.26,Electricity,#00BFFF,TWh
Solar,Elec,2185.42,Solar,#FFFF00,TWh
Solar,Heat,576.40,Solar,#FFFF00,TWh
Elec,Export,544.56,Electricity,#00BFFF,TWh
Elec,Elec demand,2650.00,Electricity,#00BFFF,TWh
Elec,HPs,762.12,Electricity,#00BFFF,TWh
HPs,Heat,17307.25,Heat LT,#FA8072,TWh
Heat,Dec. Sto,2179.96,Heat LT,#FA8072,TWh
Dec. Sto,Heat LT Dec,2077.45,Heat LT,#FA8072,TWh
Dec. Sto,Losses,102.51,Heat,#708090,TWh
Heat,Heat LT Dec,15703.69,Heat,#FA8072,TWh
