source,target,realValue,layerID,layerColor,layerUnit
Exterior Heat,HPs,12551.25,Exterior Heat,#8FBC8F,TWh
Electricity,Elec,6659.01,Electricity,#00BFFF,TWh
Solar,Elec,716.10,Solar,#FFFF00,TWh
Solar,Heat,576.40,Solar,#FFFF00,TWh
Elec,Elec demand,2650.00,Electricity,#00BFFF,TWh
Elec,HPs,4535.89,Electricity,#00BFFF,TWh
Elec,Heat,189.22,Electricity,#00BFFF,TWh
HPs,Heat,17087.14,Heat LT,#FA8072,TWh
Heat,Dec. Sto,1931.98,Heat LT,#FA8072,TWh
Dec. Sto,Heat LT Dec,1860.36,Heat LT,#FA8072,TWh
Dec. Sto,Losses,71.62,Heat,#708090,TWh
Heat,Heat LT Dec,15920.78,Heat,#FA8072,TWh
