source,target,realValue,layerID,layerColor,layerUnit
Exterior Heat,HPs,5103.33,Exterior Heat,#8FBC8F,TWh
NG,HPs,15660.65,NG,#FFD700,TWh
Electricity,Elec,2650.00,Electricity,#00BFFF,TWh
Solar,Elec,2319.14,Solar,#FFFF00,TWh
Elec,Export,2319.14,Electricity,#00BFFF,TWh
Elec,Elec demand,2650.00,Electricity,#00BFFF,TWh
HPs,Heat,20763.99,Heat LT,#FA8072,TWh
Heat,Dec. Sto,19987.64,Heat LT,#FA8072,TWh
Dec. Sto,Heat LT Dec,17004.80,Heat LT,#FA8072,TWh
Dec. Sto,Losses,2982.85,Heat,#708090,TWh
Heat,Heat LT Dec,776.34,Heat,#FA8072,TWh
