source,target,realValue,layerID,layerColor,layerUnit
Exterior Heat,HPs,10976.77,Exterior Heat,#8FBC8F,TWh
NG,HPs,3943.36,NG,#FFD700,TWh
Electricity,Elec,3632.59,Electricity,#00BFFF,TWh
Solar,Elec,5523.18,Solar,#FFFF00,TWh
Elec,Export,3632.59,Electricity,#00BFFF,TWh
Elec,Elec demand,2650.00,Electricity,#00BFFF,TWh
Elec,HPs,2873.18,Electricity,#00BFFF,TWh
HPs,Heat,17793.31,Heat LT,#FA8072,TWh
Heat,Dec. Sto,402.92,Heat LT,#FA8072,TWh
Dec. Sto,Heat LT Dec,390.76,Heat LT,#FA8072,TWh
Dec. Sto,Losses,12.16,Heat,#708090,TWh
Heat,Heat LT Dec,17390.38,Heat,#FA8072,TWh
