source,target,realValue,layerID,layerColor,layerUnit
Exterior Heat,HPs,6542.55,Exterior Heat,#8FBC8F,TWh
NG,HPs,10007.05,NG,#FFD700,TWh
Electricity,Elec,1840.11,Electricity,#00BFFF,TWh
Solar,Elec,1982.77,Solar,#FFFF00,TWh
Solar,Heat,576.40,Solar,#FFFF00,TWh
Elec,Export,417.87,Electricity,#00BFFF,TWh
Elec,Elec demand,2650.00,Electricity,#00BFFF,TWh
Elec,HPs,755.01,Electricity,#00BFFF,TWh
HPs,Heat,17304.61,Heat LT,#FA8072,TWh
Heat,Dec. Sto,2060.26,Heat LT,#FA8072,TWh
Dec. Sto,Heat LT Dec,1960.39,Heat LT,#FA8072,TWh
Dec. Sto,Losses,99.87,Heat,#708090,TWh
Heat,Heat LT Dec,15820.76,Heat,#FA8072,TWh
