source,target,realValue,layerID,layerColor,layerUnit
Exterior Heat,HPs,6788.28,Exterior Heat,#8FBC8F,TWh
NG,HPs,9610.65,NG,#FFD700,TWh
Electricity,Elec,2414.59,Electricity,#00BFFF,TWh
Solar,Elec,4103.13,Solar,#FFFF00,TWh
Elec,Export,2414.59,Electricity,#00BFFF,TWh
Elec,Elec demand,2650.00,Electricity,#00BFFF,TWh
Elec,HPs,1453.13,Electricity,#00BFFF,TWh
HPs,Heat,17852.06,Heat LT,#FA8072,TWh
Heat,Dec. Sto,1807.57,Heat LT,#FA8072,TWh
Dec. Sto,Heat LT Dec,1736.66,Heat LT,#FA8072,TWh
Dec. Sto,Losses,70.91,Heat,#708090,TWh
Heat,Heat LT Dec,16044.49,Heat,#FA8072,TWh
