source,target,realValue,layerID,layerColor,layerUnit
Exterior Heat,HPs,11174.36,Exterior Heat,#8FBC8F,TWh
Electricity,Elec,5073.92,Electricity,#00BFFF,TWh
Solar,Elec,5727.10,Solar,#FFFF00,TWh
Solar,Heat,3102.75,Solar,#FFFF00,TWh
Elec,Export,4497.15,Electricity,#00BFFF,TWh
Elec,Elec demand,2650.00,Electricity,#00BFFF,TWh
Elec,HPs,3653.87,Electricity,#00BFFF,TWh
HPs,Heat,14828.23,Heat LT,#FA8072,TWh
Heat,Dec. Sto,2726.55,Heat LT,#FA8072,TWh
Dec. Sto,Heat LT Dec,2576.72,Heat LT,#FA8072,TWh
Dec. Sto,Losses,149.84,Heat,#708090,TWh
Heat,Heat LT Dec,15204.43,Heat,#FA8072,TWh
