source,target,realValue,layerID,layerColor,layerUnit
Exterior Heat,HPs,6007.65,Exterior Heat,#8FBC8F,TWh
NG,HPs,10842.52,NG,#FFD700,TWh
Electricity,Elec,1772.89,Electricity,#00BFFF,TWh
Solar,Elec,1564.41,Solar,#FFFF00,TWh
Solar,Heat,576.40,Solar,#FFFF00,TWh
Elec,Export,269.74,Electricity,#00BFFF,TWh
Elec,Elec demand,2650.00,Electricity,#00BFFF,TWh
Elec,HPs,417.57,Electricity,#00BFFF,TWh
HPs,Heat,17267.74,Heat LT,#FA8072,TWh
Heat,Dec. Sto,1778.83,Heat LT,#FA8072,TWh
Dec. Sto,Heat LT Dec,1715.84,Heat LT,#FA8072,TWh
Dec. Sto,Losses,62.99,Heat,#708090,TWh
Heat,Heat LT Dec,16065.31,Heat,#FA8072,TWh
