TECHNOLOGIES 	  c_inv	 c_maint	 lifetime	  f_min	 f	 f_max	 fmin_perc	 f_perc	 fmax_perc	 c_p	 tau	 gwp_constr 
 UNITS	[MCHCapitalf/kW]	 [MCHCapitalf/kW]	 [y]	 [kW or kWh]	 [kW or kWh]	 [kW or kWh]	 [0-1]	 [0-1]	 [0-1]	 [0-1]	 [-]	 [kgCO2-eq./kW or kWh] 
TS_DEC_HP_ELEC_G2W	0.000000	0.000000	30.000000	0.100000	0.000000	100000.000000	0.000000	-1.000000	1.000000	1.000000	0.041639	0.000000	%f\t
TS_DEC_HP_ELEC_G2W_big	0.000000	0.000000	30.000000	0.100000	0.000000	100000.000000	0.000000	-1.000000	1.000000	1.000000	0.041639	0.000000	%f\t
TS_DEC_DIRECT_ELEC	0.000000	0.000000	30.000000	0.100000	0.000000	100000.000000	0.000000	-1.000000	1.000000	1.000000	0.041639	0.000000	%f\t
TS_DEC_THHP_GAS_ABS_A2W	0.000000	0.000000	30.000000	0.100000	0.000000	100000.000000	0.000000	-1.000000	1.000000	1.000000	0.041639	0.000000	%f\t
TS_DEC_THHP_GAS_ABS_G2W	0.000000	0.000000	30.000000	0.100000	0.000000	100000.000000	0.000000	-1.000000	1.000000	1.000000	0.041639	0.000000	%f\t
TS_DEC_THHP_GAS_ADS_G2W	0.000000	0.000000	30.000000	0.100000	0.000000	100000.000000	0.000000	-1.000000	1.000000	1.000000	0.041639	0.000000	%f\t
TS_DEC_COGEN_GAS	0.000000	0.000000	30.000000	0.100000	0.000000	100000.000000	0.000000	-1.000000	1.000000	1.000000	0.041639	0.000000	%f\t
TS_DEC_ADVCOGEN_GAS	0.000000	0.000000	30.000000	0.100000	0.000000	100000.000000	0.000000	-1.000000	1.000000	1.000000	0.041639	0.000000	%f\t
TS_DEC_COGEN_OIL	0.000000	0.000000	30.000000	0.100000	0.000000	100000.000000	0.000000	-1.000000	1.000000	1.000000	0.041639	0.000000	%f\t
TS_DEC_ADVCOGEN_H2	0.000000	0.000000	30.000000	0.100000	0.000000	100000.000000	0.000000	-1.000000	1.000000	1.000000	0.041639	0.000000	%f\t
TS_DEC_BOILER_GAS	0.000000	0.000000	30.000000	0.100000	0.000000	100000.000000	0.000000	-1.000000	1.000000	1.000000	0.041639	0.000000	%f\t
TS_DEC_BOILER_WOOD	0.000000	0.000000	30.000000	0.100000	0.000000	100000.000000	0.000000	-1.000000	1.000000	1.000000	0.041639	0.000000	%f\t
TS_DEC_BOILER_OIL	0.000000	0.000000	30.000000	0.100000	0.000000	100000.000000	0.000000	-1.000000	1.000000	1.000000	0.041639	0.000000	%f\t
TS_DHN_DAILY_S	508807.475326	48.619381	40.000000	100.000000	5653.416393	100000000.000000	0.000000	-1.000000	1.000000	1.000000	0.033427	0.000000	%f\t
TS_DHN_DAILY_M	0.000000	0.000000	40.000000	40000.000000	0.000000	0.000000	0.000000	-1.000000	1.000000	1.000000	0.033427	0.000000	%f\t
TS_DHN_SEASONAL_S	0.000000	0.000000	20.000000	40000.000000	0.000000	100000000.000000	0.000000	-1.000000	1.000000	1.000000	0.058246	0.000000	%f\t
TS_DHN_SEASONAL_M	1359355.309311	4078.065928	20.000000	1000000.000000	1359355.309311	100000000.000000	0.000000	-1.000000	1.000000	1.000000	0.058246	0.000000	%f\t
TS_DHN_SEASONAL_L	0.000000	0.000000	20.000000	8000000.000000	0.000000	0.000000	0.000000	-1.000000	1.000000	1.000000	0.058246	0.000000	%f\t
