source,target,realValue,layerID,layerColor,layerUnit
Exterior Heat,HPs,12263.79,Exterior Heat,#8FBC8F,TWh
Electricity,Elec,5526.99,Electricity,#00BFFF,TWh
Solar,Elec,5727.10,Solar,#FFFF00,TWh
Solar,Heat,1643.72,Solar,#FFFF00,TWh
Elec,Export,4645.17,Electricity,#00BFFF,TWh
Elec,Elec demand,2650.00,Electricity,#00BFFF,TWh
Elec,HPs,3958.92,Electricity,#00BFFF,TWh
HPs,Heat,16222.71,Heat LT,#FA8072,TWh
Heat,Dec. Sto,1813.35,Heat LT,#FA8072,TWh
Dec. Sto,Heat LT Dec,1728.07,Heat LT,#FA8072,TWh
Dec. Sto,Losses,85.29,Heat,#708090,TWh
Heat,Heat LT Dec,16053.07,Heat,#FA8072,TWh
