source,target,realValue,layerID,layerColor,layerUnit
Exterior Heat,HPs,7677.40,Exterior Heat,#8FBC8F,TWh
NG,HPs,8117.79,NG,#FFD700,TWh
Electricity,Elec,1964.70,Electricity,#00BFFF,TWh
Solar,Elec,4140.39,Solar,#FFFF00,TWh
Solar,Heat,576.40,Solar,#FFFF00,TWh
Elec,Export,1964.70,Electricity,#00BFFF,TWh
Elec,Elec demand,2650.00,Electricity,#00BFFF,TWh
Elec,HPs,1490.39,Electricity,#00BFFF,TWh
HPs,Heat,17285.58,Heat LT,#FA8072,TWh
Heat,Dec. Sto,1870.99,Heat LT,#FA8072,TWh
Dec. Sto,Heat LT Dec,1790.15,Heat LT,#FA8072,TWh
Dec. Sto,Losses,80.84,Heat,#708090,TWh
Heat,Heat LT Dec,15990.99,Heat,#FA8072,TWh
