source,target,realValue,layerID,layerColor,layerUnit
Exterior Heat,HPs,7046.31,Exterior Heat,#8FBC8F,TWh
NG,HPs,9174.34,NG,#FFD700,TWh
Electricity,Elec,1636.28,Electricity,#00BFFF,TWh
Solar,Elec,3730.46,Solar,#FFFF00,TWh
Solar,Heat,576.40,Solar,#FFFF00,TWh
Elec,Export,1636.28,Electricity,#00BFFF,TWh
Elec,Elec demand,2650.00,Electricity,#00BFFF,TWh
Elec,HPs,1080.46,Electricity,#00BFFF,TWh
HPs,Heat,17301.11,Heat LT,#FA8072,TWh
Heat,Dec. Sto,2076.63,Heat LT,#FA8072,TWh
Dec. Sto,Heat LT Dec,1980.26,Heat LT,#FA8072,TWh
Dec. Sto,Losses,96.37,Heat,#708090,TWh
Heat,Heat LT Dec,15800.88,Heat,#FA8072,TWh
