source,target,realValue,layerID,layerColor,layerUnit
Exterior Heat,HPs,12783.68,Exterior Heat,#8FBC8F,TWh
Electricity,Elec,4969.23,Electricity,#00BFFF,TWh
Solar,Elec,3739.78,Solar,#FFFF00,TWh
Solar,Heat,576.40,Solar,#FFFF00,TWh
Elec,Export,1429.07,Electricity,#00BFFF,TWh
Elec,Elec demand,2650.00,Electricity,#00BFFF,TWh
Elec,HPs,4629.95,Electricity,#00BFFF,TWh
HPs,Heat,17413.63,Heat LT,#FA8072,TWh
Heat,Dec. Sto,3501.34,Heat LT,#FA8072,TWh
Dec. Sto,Heat LT Dec,3292.45,Heat LT,#FA8072,TWh
Dec. Sto,Losses,208.89,Heat,#708090,TWh
Heat,Heat LT Dec,14488.69,Heat,#FA8072,TWh
