Time	TS_DHN_DAILY	TS_DHN_SEASONAL	TS_DEC	TS_DHN_DAILY_in	TS_DHN_DAILY_out	TS_DHN_SEASONAL_in	TS_DHN_SEASONAL_out	TS_DEC_in	TS_DEC_out	
 1	0.000000	0.000000	35.675944	0.000000	0.000000	0.000000	0.000000	-3.892731	0.000000	
 2	0.000000	0.000000	39.301722	0.000000	0.000000	0.000000	0.000000	-3.919748	0.000000	
 3	0.000000	0.000000	42.905004	0.000000	0.000000	0.000000	0.000000	-3.927128	0.000000	
 4	0.000000	0.000000	46.476475	0.000000	0.000000	0.000000	0.000000	-3.925008	0.000000	
 5	0.000000	0.000000	49.996935	0.000000	0.000000	0.000000	0.000000	-8.201713	4.298287	
 6	0.000000	0.000000	48.521584	0.000000	0.000000	0.000000	0.000000	0.000000	1.063376	
 7	0.000000	0.000000	47.746355	0.000000	0.000000	0.000000	0.000000	0.000000	0.375412	
 8	0.000000	0.000000	47.425020	0.000000	0.000000	0.000000	0.000000	-0.072095	0.000000	
 9	0.000000	0.000000	47.379135	0.000000	0.000000	0.000000	0.000000	-0.344897	0.000000	
 10	0.000000	0.000000	47.587562	0.000000	0.000000	0.000000	0.000000	-0.598831	0.000000	
 11	0.000000	0.000000	47.988445	0.000000	0.000000	0.000000	0.000000	-0.793005	0.000000	
 12	0.000000	0.000000	48.553399	0.000000	0.000000	0.000000	0.000000	-6.730190	5.769810	
 13	0.000000	0.000000	49.242922	0.000000	0.000000	0.000000	0.000000	-1.089602	0.000000	
 14	0.000000	0.000000	50.000000	0.000000	0.000000	0.000000	0.000000	-6.831420	5.668580	
 15	0.000000	0.000000	50.000000	0.000000	0.000000	0.000000	0.000000	-0.412000	0.000000	
 16	0.000000	0.000000	50.000000	0.000000	0.000000	0.000000	0.000000	-6.456000	6.044000	
 17	0.000000	0.000000	50.000000	0.000000	0.000000	0.000000	0.000000	-6.456000	6.044000	
 18	0.000000	0.000000	50.000000	0.000000	0.000000	0.000000	0.000000	-0.412000	0.000000	
 19	0.000000	0.000000	48.811039	0.000000	0.000000	0.000000	0.000000	-5.861520	6.638480	
 20	0.000000	0.000000	45.224367	0.000000	0.000000	0.000000	0.000000	-4.657765	7.842235	
 21	0.000000	0.000000	41.719155	0.000000	0.000000	0.000000	0.000000	-4.683718	7.816282	
 22	0.000000	0.000000	38.330940	0.000000	0.000000	0.000000	0.000000	-4.727776	7.772224	
 23	0.000000	0.000000	35.103841	0.000000	0.000000	0.000000	0.000000	-4.794374	7.705626	
 24	0.000000	0.000000	32.047282	0.000000	0.000000	0.000000	0.000000	-4.866348	7.633652	
 25	0.000000	0.000000	35.675944	0.000000	0.000000	0.000000	0.000000	-3.892731	0.000000	
 26	0.000000	0.000000	39.301722	0.000000	0.000000	0.000000	0.000000	-3.919748	0.000000	
 27	0.000000	0.000000	42.905004	0.000000	0.000000	0.000000	0.000000	-3.927128	0.000000	
 28	0.000000	0.000000	46.476475	0.000000	0.000000	0.000000	0.000000	-3.925008	0.000000	
 29	0.000000	0.000000	49.996935	0.000000	0.000000	0.000000	0.000000	-8.201713	4.298287	
 30	0.000000	0.000000	48.521584	0.000000	0.000000	0.000000	0.000000	0.000000	1.063376	
 31	0.000000	0.000000	47.746355	0.000000	0.000000	0.000000	0.000000	0.000000	0.375412	
 32	0.000000	0.000000	47.425020	0.000000	0.000000	0.000000	0.000000	-0.072095	0.000000	
