TECHNOLOGIES 	  c_inv	 c_maint	 lifetime	  f_min	 f	 f_max	 fmin_perc	 f_perc	 fmax_perc	 c_p	 tau	 gwp_constr 
 UNITS	[MCHCapitalf/GW]	 [MCHCapitalf/GW]	 [y]	 [GW or GWh]	 [GW or GWh]	 [GW or GWh]	 [0-1]	 [0-1]	 [0-1]	 [0-1]	 [-]	 [ktCO2-eq./GW or GWh] 
DEC_DIRECT_ELEC	0.000000	0.000000	15.000000	0.000000	0.000000	30.000000	0.000000	0.000000	0.700000	1.000000	0.084526	0.000000	
TRAMWAY_TROLLEY	0.000000	0.000000	1.000000	0.000000	0.000000	16.700000	0.000000	0.000000	0.300000	1.000000	1.031250	0.000000	
BUS_COACH_DIESEL	0.000000	0.000000	1.000000	0.000000	0.000000	16.700000	0.000000	0.000000	0.300000	1.000000	1.031250	0.000000	
BUS_COACH_HYDIESEL	0.000000	0.000000	1.000000	0.000000	0.000000	16.700000	0.000000	0.000000	0.300000	1.000000	1.031250	0.000000	
BUS_COACH_CNG_STOICH	0.000000	0.000000	1.000000	0.000000	0.000000	16.700000	0.000000	0.000000	0.300000	1.000000	1.031250	0.000000	
BUS_COACH_CapitalfC_HYBRIDH2	0.000000	0.000000	1.000000	0.000000	0.000000	16.700000	0.000000	0.000000	0.200000	1.000000	1.031250	0.000000	
TRAIN_PUB	0.000000	0.000000	1.000000	0.000000	0.000000	16.700000	0.000000	0.000000	0.800000	1.000000	1.031250	0.000000	
CAR_GASOLINE	0.000000	0.000000	1.000000	0.000000	0.000000	16.700000	0.200000	0.000000	1.000000	1.000000	1.031250	0.000000	
CAR_DIESEL	0.000000	0.000000	1.000000	0.000000	0.000000	16.700000	0.200000	0.000000	1.000000	1.000000	1.031250	0.000000	
CAR_NG	0.000000	0.000000	1.000000	0.000000	0.000000	16.700000	0.000000	0.000000	0.500000	1.000000	1.031250	0.000000	
CAR_HEV	0.000000	0.000000	1.000000	0.000000	0.000000	16.700000	0.000000	0.000000	0.300000	1.000000	1.031250	0.000000	
CAR_PHEV	0.000000	0.000000	1.000000	0.000000	0.000000	16.700000	0.000000	0.000000	0.300000	1.000000	1.031250	0.000000	
CAR_BEV	0.000000	0.000000	1.000000	0.000000	0.000000	16.700000	0.000000	0.000000	0.300000	1.000000	1.031250	0.000000	
CAR_CapitalfUEL_CELL	0.000000	0.000000	1.000000	0.000000	0.000000	16.700000	0.000000	0.000000	0.200000	1.000000	1.031250	0.000000	
TRAIN_CapitalfREIGHT	0.000000	0.000000	1.000000	0.000000	0.000000	3.200000	0.000000	0.000000	1.000000	1.000000	1.031250	0.000000	
TRUCK	0.000000	0.000000	1.000000	0.000000	0.000000	3.200000	0.000000	0.000000	1.000000	1.000000	1.031250	0.000000	
DAM_STORAGE	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000	-1.000000	1.000000	1.000000	1.031250	0.000000	%f\t
LNG_STO	0.000000	0.000000	25.000000	0.000000	0.000000	100000.000000	0.000000	-1.000000	1.000000	1.000000	0.058231	0.000000	%f\t
PHES	0.000000	0.000000	40.000000	0.000000	0.000000	0.000000	0.000000	-1.000000	1.000000	1.000000	0.044141	0.000000	%f\t
BATT_LI	0.000000	0.000000	15.000000	0.000000	0.000000	100000.000000	0.000000	-1.000000	1.000000	1.000000	0.084526	0.000000	%f\t
BEV_BATT	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000	-1.000000	1.000000	1.000000	1.031250	0.000000	%f\t
PHEV_BATT	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000	-1.000000	1.000000	1.000000	1.031250	0.000000	%f\t
TS_DEC_HP_ELEC	0.000000	0.000000	25.000000	0.000000	0.000000	100000.000000	0.000000	-1.000000	1.000000	1.000000	0.058231	0.000000	%f\t
TS_DEC_DIRECT_ELEC	0.000000	0.000000	25.000000	0.000000	0.000000	100000.000000	0.000000	-1.000000	1.000000	1.000000	0.058231	0.000000	%f\t
TS_DHN_DAILY	0.000000	0.000000	25.000000	0.000000	0.000000	100000.000000	0.000000	-1.000000	1.000000	1.000000	0.058231	0.000000	%f\t
TS_DHN_SEASONAL	0.000000	0.000000	25.000000	0.000000	0.000000	100000.000000	0.000000	-1.000000	1.000000	1.000000	0.058231	0.000000	%f\t
TS_DEC_THHP_GAS	0.000010	0.000000	25.000000	0.000000	0.000000	100000.000000	0.000000	-1.000000	1.000000	1.000000	0.058231	0.000000	%f\t
TS_DEC_COGEN_GAS	0.000000	0.000000	25.000000	0.000000	0.000000	100000.000000	0.000000	-1.000000	1.000000	1.000000	0.058231	0.000000	%f\t
TS_DEC_COGEN_OIL	0.000000	0.000000	25.000000	0.000000	0.000000	100000.000000	0.000000	-1.000000	1.000000	1.000000	0.058231	0.000000	%f\t
TS_DEC_ADVCOGEN_GAS	0.000000	0.000000	25.000000	0.000000	0.000000	100000.000000	0.000000	-1.000000	1.000000	1.000000	0.058231	0.000000	%f\t
TS_DEC_ADVCOGEN_H2	0.000000	0.000000	25.000000	0.000000	0.000000	100000.000000	0.000000	-1.000000	1.000000	1.000000	0.058231	0.000000	%f\t
TS_DEC_BOILER_GAS	0.000019	0.000000	25.000000	0.000000	0.000001	100000.000000	0.000000	-1.000000	1.000000	1.000000	0.058231	0.000000	%f\t
TS_DEC_BOILER_WOOD	0.000182	0.000000	25.000000	0.000000	0.000009	100000.000000	0.000000	-1.000000	1.000000	1.000000	0.058231	0.000000	%f\t
TS_DEC_BOILER_OIL	0.000019	0.000000	25.000000	0.000000	0.000001	100000.000000	0.000000	-1.000000	1.000000	1.000000	0.058231	0.000000	%f\t
ECapitalfCapitalfICIENCY	1799.757576	0.000000	1.000000	0.000000	0.969697	20.000000	0.000000	-1.000000	1.000000	1.000000	1.031250	0.000000	%f\t
DHN	0.000000	0.000000	60.000000	0.000000	0.000000	20.000000	0.000000	-1.000000	1.000000	1.000000	0.037106	0.000000	%f\t
GRID	61100.000000	0.000000	80.000000	0.000000	1.000000	20.000000	0.000000	-1.000000	1.000000	1.000000	0.034164	0.000000	%f\t
POWER2GAS_in	0.000000	0.000000	1.000000	0.000000	0.000000	20.000000	0.000000	-1.000000	1.000000	0.900000	1.031250	0.000000	%f\t
POWER2GAS_out	0.000000	0.000000	1.000000	0.000000	0.000000	20.000000	0.000000	-1.000000	1.000000	0.900000	1.031250	0.000000	%f\t
POWER2GAS	0.000000	0.000000	25.000000	0.000000	0.000000	20.000000	0.000000	-1.000000	1.000000	1.000000	0.058231	0.000000	%f\t
H2_ELECTROLYSIS	0.000000	0.000000	15.000000	0.000000	0.000000	20.000000	0.000000	-1.000000	1.000000	0.900000	0.084526	0.000000	%f\t
H2_NG	0.000000	0.000000	25.000000	0.000000	0.000000	20.000000	0.000000	-1.000000	1.000000	0.860000	0.058231	0.000000	%f\t
H2_BIOMASS	0.000000	0.000000	25.000000	0.000000	0.000000	20.000000	0.000000	-1.000000	1.000000	0.860000	0.058231	0.000000	%f\t
GASICapitalfICATION_SNG	0.000000	0.000000	25.000000	0.000000	0.000000	20.000000	0.000000	-1.000000	1.000000	0.850000	0.058231	0.000000	%f\t
PYROLYSIS	0.000357	0.000018	25.000000	0.000000	0.000000	20.000000	0.000000	-1.000000	1.000000	0.850000	0.058231	0.000000	%f\t
