TECHNOLOGIES 	  c_inv	 c_maint	 lifetime	  f_min	 f	 f_max	 fmin_perc	 f_perc	 fmax_perc	 c_p	 tau	 gwp_constr 																							
 UNITS	[MCHCapitalf/kW]	 [MCHCapitalf/kW]	 [y]	 [kW or kWh]	 [kW or kWh]	 [kW or kWh]	 [0-1]	 [0-1]	 [0-1]	 [0-1]	 [-]	 [kgCO2-eq./kW or kWh] 																							
BUS_COACH_DIESEL	0	0	1	0.1	0	16.7	0	0	0.3	1	1.015	0					0																		
BUS_COACH_HYDIESEL	0	0	1	0.1	0	16.7	0	0	0.3	1	1.015	0					0																		
BUS_COACH_CNG_STOICH	0	0	1	0.1	0	16.7	0	0	0.3	1	1.015	0					0																		
BUS_COACH_CapitalfC_HYBRIDH2	0	0	1	0.1	0	16.7	0	0	0.2	1	1.015	0					0																		
TRAIN_PUB	0	0	1	0.1	0	16.7	0	0	0.8	1	1.015	0					0																		
CAR_GASOLINE	0	0	1	0.1	0	16.7	0.2	0	1	1	1.015	0					0																		
CAR_DIESEL	0	0	1	0.1	0	16.7	0.2	0	1	1	1.015	0					0																		
CAR_NG	0	0	1	0.1	0	16.7	0	0	0.5	1	1.015	0					0																		
CAR_HEV	0	0	1	0.1	0	16.7	0	0	0.3	1	1.015	0					0																		
CAR_PHEV	0	0	1	0.1	0	16.7	0	0	0.3	1	1.015	0					0																		
CAR_BEV	0	0	1	0.1	0	16.7	0	0	0.3	1	1.015	0					0																		
CAR_CapitalfUEL_CELL	0	0	1	0.1	0	16.7	0	0	0.2	1	1.015	0					0																		
TRAIN_CapitalfREIGHT	0	0	1	0.92	0	3.2	0	0	1	1	1.015	0					0																		
TRUCK	0	0	1	0.92	0	3.2	0	0	1	1	1.015	0					0																		
LNG_STO	0	0	25	0.1	0	100000	0	-1	1	1	0.048263	0	%f\t				0																		
PHES	0	0	50	0.1	0	0	0	-1	1	1	0.028572	0	%f\t				0																		
BATT_LI	0	0	15	2.2	0	100000	0	-1	1	1	0.074944	0	%f\t				0																		
