source,target,realValue,layerID,layerColor,layerUnit
Exterior Heat,HPs,3691.44,Exterior Heat,#8FBC8F,TWh
NG,HPs,10650.89,NG,#FFD700,TWh
Electricity,Elec,1527.55,Electricity,#00BFFF,TWh
Solar,Elec,2650.00,Solar,#FFFF00,TWh
Elec,Export,1527.55,Electricity,#00BFFF,TWh
Elec,Elec demand,2650.00,Electricity,#00BFFF,TWh
HPs,Heat,14342.33,Heat LT,#FA8072,TWh
Heat,Dec. Sto,2054.73,Heat LT,#FA8072,TWh
Dec. Sto,Heat LT Dec,1974.31,Heat LT,#FA8072,TWh
Dec. Sto,Losses,80.42,Heat,#708090,TWh
Heat,Heat LT Dec,12287.60,Heat,#FA8072,TWh
