source,target,realValue,layerID,layerColor,layerUnit
Exterior Heat,HPs,4417.37,Exterior Heat,#8FBC8F,TWh
NG,HPs,13816.64,NG,#FFD700,TWh
Electricity,Elec,1527.55,Electricity,#00BFFF,TWh
Solar,Elec,2650.00,Solar,#FFFF00,TWh
Elec,Export,1527.55,Electricity,#00BFFF,TWh
Elec,Elec demand,2650.00,Electricity,#00BFFF,TWh
HPs,Heat,18234.01,Heat LT,#FA8072,TWh
Heat,Dec. Sto,6508.05,Heat LT,#FA8072,TWh
Dec. Sto,Heat LT Dec,6055.18,Heat LT,#FA8072,TWh
Dec. Sto,Losses,452.87,Heat,#708090,TWh
Heat,Heat LT Dec,11725.96,Heat,#FA8072,TWh
