source,target,realValue,layerID,layerColor,layerUnit
Exterior Heat,HPs,5447.74,Exterior Heat,#8FBC8F,TWh
NG,HPs,11749.73,NG,#FFD700,TWh
Electricity,Elec,1570.97,Electricity,#00BFFF,TWh
Solar,Elec,2708.90,Solar,#FFFF00,TWh
Solar,Heat,576.40,Solar,#FFFF00,TWh
Elec,Export,1570.97,Electricity,#00BFFF,TWh
Elec,Elec demand,2650.00,Electricity,#00BFFF,TWh
Elec,HPs,58.90,Electricity,#00BFFF,TWh
HPs,Heat,17256.37,Heat LT,#FA8072,TWh
Heat,Dec. Sto,1432.14,Heat LT,#FA8072,TWh
Dec. Sto,Heat LT Dec,1380.51,Heat LT,#FA8072,TWh
Dec. Sto,Losses,51.63,Heat,#708090,TWh
Heat,Heat LT Dec,16400.63,Heat,#FA8072,TWh
