source,target,realValue,layerID,layerColor,layerUnit
Exterior Heat,HPs,11585.94,Exterior Heat,#8FBC8F,TWh
Electricity,Elec,4392.99,Electricity,#00BFFF,TWh
Solar,Elec,5727.10,Solar,#FFFF00,TWh
Elec,Export,3845.41,Electricity,#00BFFF,TWh
Elec,Elec demand,2650.00,Electricity,#00BFFF,TWh
Elec,HPs,3624.68,Electricity,#00BFFF,TWh
HPs,Heat,15210.62,Heat LT,#FA8072,TWh
Heat,Dec. Sto,1143.24,Heat LT,#FA8072,TWh
Dec. Sto,Heat LT Dec,1091.04,Heat LT,#FA8072,TWh
Dec. Sto,Losses,52.21,Heat,#708090,TWh
Heat,Heat LT Dec,14067.37,Heat,#FA8072,TWh
