source,target,realValue,layerID,layerColor,layerUnit
Exterior Heat,HPs,12791.28,Exterior Heat,#8FBC8F,TWh
Electricity,Elec,4510.62,Electricity,#00BFFF,TWh
Solar,Elec,5727.10,Solar,#FFFF00,TWh
Solar,Heat,576.40,Solar,#FFFF00,TWh
Elec,Export,2952.67,Electricity,#00BFFF,TWh
Elec,Elec demand,2650.00,Electricity,#00BFFF,TWh
Elec,HPs,4635.05,Electricity,#00BFFF,TWh
HPs,Heat,17426.33,Heat LT,#FA8072,TWh
Heat,Dec. Sto,3657.99,Heat LT,#FA8072,TWh
Dec. Sto,Heat LT Dec,3436.40,Heat LT,#FA8072,TWh
Dec. Sto,Losses,221.59,Heat,#708090,TWh
Heat,Heat LT Dec,14344.74,Heat,#FA8072,TWh
