source,target,realValue,layerID,layerColor,layerUnit
Exterior Heat,HPs,35021775.39,Exterior Heat,#8FBC8F,TWh
NG,CHP,23407794.42,NG,#FFD700,TWh
NG,HPs,2889278.09,NG,#FFD700,TWh
NG,Boilers,1959441.01,NG,#FFD700,TWh
Solar,Elec,2650906.52,Solar,#FFFF00,TWh
Elec,Elec demand,7116754.47,Electricity,#00BFFF,TWh
Elec,Storage,660955.52,Electricity,#00BFFF,TWh
Storage,Elec demand,595476.02,Electricity,#00BFFF,TWh
Storage,Losses,65479.50,Electricity,#708090,TWh
Elec,HPs,7045249.63,Electricity,#00BFFF,TWh
CHP,Elec,12172053.10,Electricity,#00BFFF,TWh
CHP,DHN,11703897.21,Heat LT,#FA8072,TWh
HPs,DHN,44956303.10,Heat LT,#FA8072,TWh
Boilers,DHN,2057371.92,Heat LT,#FA8072,TWh
DHN,Heat LT DHN,48760624.00,Heat LT,#FA8072,TWh
DHN,Loss DHN,6023947.07,Heat LT,#FA8072,TWh
DHN,DHN Sto,3933001.16,Heat LT,#FA8072,TWh
DHN Sto,Heat LT DHN,3803604.74,Heat LT,#FA8072,TWh
