source,target,realValue,layerID,layerColor,layerUnit
Exterior Heat,HPs,13107.73,Exterior Heat,#8FBC8F,TWh
Electricity,Elec,5811.23,Electricity,#00BFFF,TWh
Solar,Elec,5664.37,Solar,#FFFF00,TWh
Solar,Heat,576.40,Solar,#FFFF00,TWh
Elec,Export,4666.84,Electricity,#00BFFF,TWh
Elec,Elec demand,2650.00,Electricity,#00BFFF,TWh
Elec,HPs,4158.76,Electricity,#00BFFF,TWh
HPs,Heat,17266.49,Heat LT,#FA8072,TWh
Heat,Dec. Sto,2215.01,Heat LT,#FA8072,TWh
Dec. Sto,Heat LT Dec,2153.26,Heat LT,#FA8072,TWh
Dec. Sto,Losses,61.75,Heat,#708090,TWh
Heat,Heat LT Dec,15627.88,Heat,#FA8072,TWh
