source,target,realValue,layerID,layerColor,layerUnit
Exterior Heat,HPs,4993.65,Exterior Heat,#8FBC8F,TWh
NG,HPs,15388.20,NG,#FFD700,TWh
Electricity,Elec,1527.55,Electricity,#00BFFF,TWh
Solar,Elec,2650.00,Solar,#FFFF00,TWh
Elec,Export,1527.55,Electricity,#00BFFF,TWh
Elec,Elec demand,2650.00,Electricity,#00BFFF,TWh
HPs,Heat,20381.85,Heat LT,#FA8072,TWh
Heat,Dec. Sto,23752.34,Heat LT,#FA8072,TWh
Dec. Sto,Heat LT Dec,21151.63,Heat LT,#FA8072,TWh
Dec. Sto,Losses,2600.71,Heat,#708090,TWh
Heat,Heat LT Dec,-3370.49,Heat,#FA8072,TWh
