source,target,realValue,layerID,layerColor,layerUnit
Exterior Heat,HPs,6867.34,Exterior Heat,#8FBC8F,TWh
NG,HPs,9457.06,NG,#FFD700,TWh
Electricity,Elec,1565.25,Electricity,#00BFFF,TWh
Solar,Elec,3617.02,Solar,#FFFF00,TWh
Solar,Heat,576.40,Solar,#FFFF00,TWh
Elec,Export,1565.25,Electricity,#00BFFF,TWh
Elec,Elec demand,2650.00,Electricity,#00BFFF,TWh
Elec,HPs,967.02,Electricity,#00BFFF,TWh
HPs,Heat,17291.42,Heat LT,#FA8072,TWh
Heat,Dec. Sto,2260.41,Heat LT,#FA8072,TWh
Dec. Sto,Heat LT Dec,2173.73,Heat LT,#FA8072,TWh
Dec. Sto,Losses,86.68,Heat,#708090,TWh
Heat,Heat LT Dec,15607.41,Heat,#FA8072,TWh
